sim result, 0
total time, 277.142120
total energy, 9348.914062
map,x,slope,radius,vi,ft,fslope,faero,ftyres,fres,ftot,a,dt,dE
0,0.000000,0.000000,0.008800,7.000000,0.000000,0.000000,1.241236,1.305502,2.611877,-2.611877,-0.030022,0.142901,0.000000
0,1.000000,-0.000035,0.009976,6.995710,0.000000,-0.028422,1.246303,1.358196,2.641215,-2.641215,-0.030359,0.142992,0.000000
0,2.000000,-0.000070,0.011152,6.991369,0.000000,-0.056844,1.252271,1.417208,2.677773,-2.677773,-0.030779,0.143076,0.000000
0,3.000000,-0.000105,0.012328,6.986965,0.000000,-0.085266,1.259171,1.482444,2.721488,-2.721488,-0.031281,0.143161,0.000000
0,4.000000,-0.000140,0.013504,6.982487,0.000000,-0.113688,1.267040,1.553801,2.772292,-2.772292,-0.031865,0.143269,0.000000
0,5.000000,-0.000175,0.014680,6.977921,0.000000,-0.142110,1.275914,1.631173,2.830116,-2.830116,-0.032530,0.143358,0.000000
0,6.000000,-0.000209,0.015856,6.973258,0.000000,-0.170532,1.285838,1.714442,2.894886,-2.894886,-0.033275,0.143450,0.000000
0,7.000000,-0.000244,0.017032,6.968485,0.000000,-0.198954,1.296858,1.803484,2.966527,-2.966527,-0.034098,0.143555,0.000000
0,8.000000,-0.000279,0.018208,6.963590,0.000000,-0.227376,1.309024,1.898169,3.044956,-3.044956,-0.034999,0.143656,0.000000
0,9.000000,-0.000314,0.019384,6.958562,0.000000,-0.255798,1.322390,1.998355,3.130085,-3.130085,-0.035978,0.143765,0.000000
0,10.000000,-0.000349,0.020560,6.953390,0.000000,-0.284220,1.337013,2.103893,3.221825,-3.221825,-0.037032,0.143869,0.000000
0,11.000000,-0.000389,0.022343,6.948062,0.000000,-0.316687,1.362827,2.275877,3.387155,-3.387155,-0.038933,0.143986,0.000000
0,12.000000,-0.000429,0.024126,6.942457,0.000000,-0.349154,1.391994,2.459895,3.567873,-3.567873,-0.041010,0.144104,0.000000
0,13.000000,-0.000469,0.025910,6.936547,0.000000,-0.381622,1.424777,2.655414,3.763707,-3.763707,-0.043261,0.144229,0.000000
0,14.000000,-0.000509,0.027693,6.930307,0.000000,-0.414089,1.461452,2.861862,3.974364,-3.974364,-0.045682,0.144366,0.000000
0,15.000000,-0.000548,0.029476,6.923712,0.000000,-0.446556,1.502317,3.078625,4.199524,-4.199524,-0.048270,0.144508,0.000000
0,16.000000,-0.000588,0.031259,6.916737,0.000000,-0.479023,1.547682,3.305047,4.438844,-4.438844,-0.051021,0.144657,0.000000
0,17.000000,-0.000628,0.033042,6.909356,0.000000,-0.511490,1.597876,3.540420,4.691944,-4.691944,-0.053930,0.144815,0.000000
0,18.000000,-0.000668,0.034826,6.901546,0.000000,-0.543958,1.653240,3.784011,4.958432,-4.958432,-0.056993,0.144983,0.000000
0,19.000000,-0.000708,0.036609,6.893283,0.000000,-0.576425,1.714131,4.035028,5.237872,-5.237872,-0.060205,0.145161,0.000000
0,20.000000,-0.000748,0.038392,6.884543,0.000000,-0.608892,1.780916,4.292647,5.529809,-5.529809,-0.063561,0.145349,0.000000
0,21.000000,-0.000768,0.040009,6.875305,0.000000,-0.625062,1.846437,4.529543,5.816056,-5.816056,-0.066851,0.145551,0.000000
0,22.000000,-0.000788,0.041627,6.865574,0.000000,-0.641233,1.917336,4.770105,6.111347,-6.111347,-0.070245,0.145763,0.000000
0,23.000000,-0.000807,0.043244,6.855335,0.000000,-0.657403,1.993901,5.013605,6.415240,-6.415240,-0.073738,0.145986,0.000000
0,24.000000,-0.000827,0.044862,6.844571,0.000000,-0.673574,2.076421,5.259291,6.727277,-6.727277,-0.077325,0.146222,0.000000
0,25.000000,-0.000847,0.046479,6.833264,0.000000,-0.689744,2.165190,5.506389,7.046973,-7.046973,-0.081000,0.146468,0.000000
0,26.000000,-0.000867,0.048097,6.821400,0.000000,-0.705915,2.260505,5.754114,7.373843,-7.373843,-0.084757,0.146730,0.000000
0,27.000000,-0.000887,0.049714,6.808964,0.000000,-0.722085,2.362662,6.001651,7.707366,-7.707366,-0.088590,0.147006,0.000000
0,28.000000,-0.000907,0.051332,6.795940,0.000000,-0.738256,2.471958,6.248189,8.047030,-8.047030,-0.092495,0.147294,0.000000
0,29.000000,-0.000927,0.052949,6.782317,0.000000,-0.754426,2.588689,6.492893,8.392294,-8.392294,-0.096463,0.147595,0.000000
0,30.000000,-0.000946,0.054567,6.768079,0.000000,-0.770597,2.713148,6.734942,8.742632,-8.742632,-0.100490,0.147916,0.000000
0,31.000000,-0.000962,0.055699,6.753215,0.000000,-0.783170,2.801267,6.886998,8.970234,-8.970234,-0.103106,0.148243,0.000000
0,32.000000,-0.000977,0.056831,6.737930,0.000000,-0.795743,2.893052,7.035811,9.198257,-9.198257,-0.105727,0.148586,0.000000
0,33.000000,-0.000993,0.057963,6.722221,0.000000,-0.808316,2.988572,7.181098,9.426493,-9.426493,-0.108350,0.148938,0.000000
0,34.000000,-0.001008,0.059096,6.706083,0.000000,-0.820889,3.087892,7.322534,9.654675,-9.654675,-0.110973,0.149302,0.000000
0,35.000000,-0.001024,0.060228,6.689515,0.000000,-0.833463,3.191076,7.459860,9.882612,-9.882612,-0.113593,0.149678,0.000000
0,36.000000,-0.001039,0.061360,6.672512,0.000000,-0.846036,3.298181,7.592786,10.110070,-10.110070,-0.116208,0.150063,0.000000
0,37.000000,-0.001055,0.062492,6.655074,0.000000,-0.858609,3.409266,7.733175,10.348970,-10.348970,-0.118954,0.150464,0.000000
0,38.000000,-0.001070,0.063625,6.637176,0.000000,-0.871182,3.524359,7.907235,10.625550,-10.625550,-0.122133,0.150875,0.000000
0,39.000000,-0.001085,0.064757,6.618749,0.000000,-0.883756,3.643430,8.077797,10.902610,-10.902610,-0.125317,0.151301,0.000000
0,40.000000,-0.001101,0.065889,6.599788,0.000000,-0.896329,3.766508,8.244488,11.179806,-11.179806,-0.128504,0.151744,0.000000
0,41.000000,-0.001112,0.066312,6.580288,0.000000,-0.905253,3.799374,8.237900,11.197159,-11.197159,-0.128703,0.152196,0.000000
0,42.000000,-0.001123,0.066736,6.560700,0.000000,-0.914177,3.832433,8.229732,11.213125,-11.213125,-0.128886,0.152653,0.000000
